pertanyaan;intent;jawaban;kategori
tatacara yudisium bagaimana?;ladm.yudisium;"Alur Pengajuan Yudisium
1. Mahasiswa mencetak naskah Tugas Akhir dan menjilid hard cover (Jumlah 3 eksemplar)
2. Mahasiswa meminta pengesahan naskah Tugas Akhir pada pembimbing dan Ketua Jurusan
3. Mahasiswa menyiapkan dokumentasi Tugas Akhir dalam bentuk CD dan mengunggah dokumentasi Tugas Akhir
4. Mahasiswa mengikuti tes TOEFL di UPT Lab. Bahasa UPNVY
5. Mahasiswa mengajukan surat bebas Lab. ke TU Laboratorium
6. Mahasiswa menyerahkan Naskah Tugas Akhir hard cover dan CD ke Perpustakaan(Jumlah  1 eksemplar)
7. Mahasiswa mengajukan surat bebas Perpustakaan ke Perpus Fakultas dan Universitas
8. Mahasiswa menyerahkan naskah Tugas Akhir lengkap berupa soft copy kepada Pembimbing
9. Mahasiswa mempersiapkan kelengkapan Yudisium sesuai form Y.01
10. Mahasiswa menyerahkan form Yudisium dan dokumen persyaratan Yudisium ke TU Jurusan
11. TU Jurusan melakukan pengecekan kelengkapan dokumen pendaftaran Yudisium dan mengarsip seluruh kelengkapan
12. TU Jurusan menyampaikan nama-nama mahasiswa yang mengajukan Yudisium pada Koordinator Program Studi
13. Ketua Jurusan dan Koord. Prodi melakukan rapat Yudisium
14. Ketua Jurusan dan Koord. Prodi mengumumkan hasil rapat Yudisium
15. Mahasiswa melengkapi ulang syarat Yudisium dan mengajukan ulang kelengkapan ke TU Jurusan
16. TU Jurusan menerbitkan Surat Keterangan Lulus (SKL)
17. TU Jurusan melaporkan hasil Yudisium ke Fakultas";Layanan administratif
apakah form permohonan yudisium sudah ada?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
bagaimana cara mendapatkan form pendaftaran yudisium?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
bagaimana tutorial mendapatkan format pendaftaran yudisium?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
blangko untuk yudisium dapat diperoleh dimana?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
boleh lihat contoh formulir daftar yudisium?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
boleh minta form daftar yudisium atau bisa di download melalui link apa?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
boleh minta template pernyataan permohonan yudisium atau bisa di unduh dimana?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
dokumen apa saja yang di butuhkan untuk yudisium?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
file dokumen formulir permohonan yudisium dapat diakses dimana?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
form pendaftaran yudisium doc!;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
link pdf format pengajuan yudisium!;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
saya mau minta blangko daftar yudisium atau tautant download-nya?;ladm.yudisium;Y.01-Pendaftaran Yudisium.docx;Layanan administratif
bagaimana proses membuat keterangan bebas lab ke tu laboratorium?;lak.bebas lab;Cara mendapatkan surat bebas Lab. ke TU Laboratorium yaitu mengisi form SURAT KETERANGAN BEBAS LABORATORIUM.docx dan di validasi oleh setiap kepala Laboratorium Jurusan;Layanan akademik
berkas apa saja yang dibutuhkan untuk mendapatkan surat bebas lab?;lak.bebas lab;Cara mendapatkan surat bebas Lab. ke TU Laboratorium yaitu mengisi form SURAT KETERANGAN BEBAS LABORATORIUM.docx dan di validasi oleh setiap kepala Laboratorium Jurusan;Layanan akademik
data apa sajakah yang diperlukan untuk mengisi form bukti bebas lab?;lak.bebas lab;Cara mendapatkan surat bebas Lab. ke TU Laboratorium yaitu mengisi form SURAT KETERANGAN BEBAS LABORATORIUM.docx dan di validasi oleh setiap kepala Laboratorium Jurusan;Layanan akademik
dimana saya dapat mengambil form bukti bebas lab ke tu laboratorium?;lak.bebas lab;Cara mendapatkan surat bebas Lab. ke TU Laboratorium yaitu mengisi form SURAT KETERANGAN BEBAS LABORATORIUM.docx dan di validasi oleh setiap kepala Laboratorium Jurusan;Layanan akademik
saya bisa download form bebas lab ke tu laboratorium dimana?;lak.bebas lab;Cara mendapatkan surat bebas Lab. ke TU Laboratorium yaitu mengisi form SURAT KETERANGAN BEBAS LABORATORIUM.docx dan di validasi oleh setiap kepala Laboratorium Jurusan;Layanan akademik
[tutorial|langkah-langkah] memperoleh keterangan bebas laboratorium bagaimana?;lak.bebas lab;Cara mendapatkan surat bebas Lab. ke TU Laboratorium yaitu mengisi form SURAT KETERANGAN BEBAS LABORATORIUM.docx dan di validasi oleh setiap kepala Laboratorium Jurusan;Layanan akademik
dimana saya bisa mendapatkan format penilaian jurnal publikasi?;lak.form nilai naskah;PTA.04-Penilaian Naskah Publikasi.docx;Layanan akademik
form berkas PTA 04  penilaian naskah publikasi ?;lak.form nilai naskah;PTA.04-Penilaian Naskah Publikasi.docx;Layanan akademik
formulir draf penilaian naskah publikasi apakah bisa di unduh?;lak.form nilai naskah;PTA.04-Penilaian Naskah Publikasi.docx;Layanan akademik
lembar penilaian jurnal publikasi seperti apa?;lak.form nilai naskah;PTA.04-Penilaian Naskah Publikasi.docx;Layanan akademik
link download template dokumen nilai naskah publikasi ?;lak.form nilai naskah;PTA.04-Penilaian Naskah Publikasi.docx;Layanan akademik
apa saja yang harus dilaksanakan jika ingin menghapus salah satu mata pelajaran?;lak.hapus mata kuliah;mengisi Blanko_Penghapusan_MKA.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
apakah bisa mata kuliah yang sudah diambil dapat di ganti?;lak.hapus mata kuliah;mengisi Blanko_Penghapusan_MKA.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
dimana harus mengurus form penghapusan mata kuliah?;lak.hapus mata kuliah;mengisi Blanko_Penghapusan_MKA.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
matakuliah nilai E mau saya hapus apa saja tahapan/prosedur?;lak.hapus mata kuliah;mengisi Blanko_Penghapusan_MKA.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
nilai matkul peminatan yang jelek akan saya hapus apa saja yang harus dilakukan?;lak.hapus mata kuliah;mengisi Blanko_Penghapusan_MKA.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
saya ingin mengambil mengajukan penghapusan matakuliah bagaimana caranya?;lak.hapus mata kuliah;mengisi Blanko_Penghapusan_MKA.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
contoh berkas untuk hapus matakuliah!;lak.hapus mata kuliah;mengisi Blanko_Penghapusan_MKA.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
dimana dapat mengakses formulir/blangko penghapusan matakuliah (MK)?;lak.hapus mka.blangko;Blanko_Penghapusan_MKA.docx;Layanan akademik
dokumen untuk menghilangkan mata kuliah seperti apa?;lak.hapus mka.blangko;Blanko_Penghapusan_MKA.docx;Layanan akademik
unduh format surat mengajukan penghapusan mata kuliah pdf!;lak.hapus mka.blangko;Blanko_Penghapusan_MKA.docx;Layanan akademik
link download template pengajuan penghapusan matkul?;lak.hapus mka.blangko;Blanko_Penghapusan_MKA.docx;Layanan akademik
tautan form doc hapus matkul bisa saya dapatkan dimana?;lak.hapus mka.blangko;Blanko_Penghapusan_MKA.docx;Layanan akademik
bagi form izin magang?;lak.ijin KP;Blanko_Izin_Kerja_Praktik.docx;Layanan akademik
blangko pengajuan izin kerja kp!;lak.ijin KP;Blanko_Izin_Kerja_Praktik.docx;Layanan akademik
dimana saya mendapatkan formulir kerja praktik (kp)?;lak.ijin KP;Blanko_Izin_Kerja_Praktik.docx;Layanan akademik
dimana saya mendapatkan link surat pengajuan kerja praktik?;lak.ijin KP;Blanko_Izin_Kerja_Praktik.docx;Layanan akademik
format permohonan izin kerja praktik atau magang mahasiswa dapat diunduh dimana?;lak.ijin KP;Blanko_Izin_Kerja_Praktik.docx;Layanan akademik
apa saja prosedur yang harus dijalankan untuk dapat mengajukan izin/tugas magang?;lak.izin kp;mengisi Blanko_Izin_Kerja_Praktik.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
apakah saya bisa minta penjelasan mengenai tahapan pernyataan tugas kp dari fakultas?;lak.izin kp;mengisi Blanko_Izin_Kerja_Praktik.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
bagaimana alur cara memperoleh surat jalan kerja praktik (kp) dari kampus?;lak.izin kp;mengisi Blanko_Izin_Kerja_Praktik.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
kalau mau mendapatkan izin kerja praktik, bagaimana prosedurnya?;lak.izin kp;mengisi Blanko_Izin_Kerja_Praktik.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
kemana saya bisa mendapakan izin kerja praktik/magang?;lak.izin kp;mengisi Blanko_Izin_Kerja_Praktik.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
saya ingin mengurus perizinan magang?;lak.izin kp;mengisi Blanko_Izin_Kerja_Praktik.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;Layanan akademik
bagaimana cara/tutorial/proses mendaftar kkn semester ini?;lak.KKN;"Persyaratan Peserta KKN
Mahasiswa yang akan melaksanakan KKN harus melakukan pendaftaran ke LPPM. Syarat pendaftaran menjadi peserta KKN adalah:
1. Memenuhi persyaratan akademik mencapai minimal 110 sks sesuai dengan Surat Keputusan Rektor Nomor: SKEP/87N11/2010 tanggal 5 Juli 2010.
2. Menyerahkan transkip nilai yang sudah dibubui tanda tangan dosen wali (menyetujui) dan ketua jurusan/prodi (mengetahui)
3. Telah mengambil Mata Kuliah KKN dengan bukti print out input.
4. Mengisi daftar riwayat hidup yang juga harus disetujui dosen wali dan diketahui ketua jurusan/prodi.
5. Transkip nilai, print out input dan daftar riwayat hidup harus diserahkan secara lengkap saat mahasiswa mendaftar sebagai peserta KKN.
6. Mahasiswa melalui ketua kelompok masing-masing mendaftarkan ke LPPM untuk mendapatkan user name dan pasword.
7. Ketua kelompok akses sistem pendaftaran KKN secara on-line di Ippm.upnykac.id
8. Jumlah kelompok pendaftar setiap skim maupun jumlah pendaftar total per angkatan akan dibatasi.
9. Waktu pendaftaran peserta KKN diatur dan ditentukan oleh Pusat Pengabdian Kepada Masyarakat LPPM.
10. Mahasiswa yang tidak mendaftar pada waktu telah ditentukan maka dianggap gugur sebagai peserta KKN pada angkatanisemester pengambilan Mata Kuliah KKN.
11. Pesyaratan ini juga berlaku untuk KKN PPM yang mendapat hibah DIKTI, sehingga baqi dosen vanq menqajukan proposal KKN PPEV1 ke Dikti harus sudah mendaftarkan terlebih dahulu calon peserta mahasiswa.
info lebih lengkap silahkan kunjungi : https://kkn-upnyk.com/";Layanan akademik
Info dong prosedur pendaftaran dan pelaksanaan KKN kayak gimana ?;lak.KKN;"Persyaratan Peserta KKN
Mahasiswa yang akan melaksanakan KKN harus melakukan pendaftaran ke LPPM. Syarat pendaftaran menjadi peserta KKN adalah:
1. Memenuhi persyaratan akademik mencapai minimal 110 sks sesuai dengan Surat Keputusan Rektor Nomor: SKEP/87N11/2010 tanggal 5 Juli 2010.
2. Menyerahkan transkip nilai yang sudah dibubui tanda tangan dosen wali (menyetujui) dan ketua jurusan/prodi (mengetahui)
3. Telah mengambil Mata Kuliah KKN dengan bukti print out input.
4. Mengisi daftar riwayat hidup yang juga harus disetujui dosen wali dan diketahui ketua jurusan/prodi.
5. Transkip nilai, print out input dan daftar riwayat hidup harus diserahkan secara lengkap saat mahasiswa mendaftar sebagai peserta KKN.
6. Mahasiswa melalui ketua kelompok masing-masing mendaftarkan ke LPPM untuk mendapatkan user name dan pasword.
7. Ketua kelompok akses sistem pendaftaran KKN secara on-line di Ippm.upnykac.id
8. Jumlah kelompok pendaftar setiap skim maupun jumlah pendaftar total per angkatan akan dibatasi.
9. Waktu pendaftaran peserta KKN diatur dan ditentukan oleh Pusat Pengabdian Kepada Masyarakat LPPM.
10. Mahasiswa yang tidak mendaftar pada waktu telah ditentukan maka dianggap gugur sebagai peserta KKN pada angkatanisemester pengambilan Mata Kuliah KKN.
11. Pesyaratan ini juga berlaku untuk KKN PPM yang mendapat hibah DIKTI, sehingga baqi dosen vanq menqajukan proposal KKN PPEV1 ke Dikti harus sudah mendaftarkan terlebih dahulu calon peserta mahasiswa.
info lebih lengkap silahkan kunjungi : https://kkn-upnyk.com/";Layanan akademik
setelah mengumpulkan berkas, adakah info lebih lanjut tentang kkn dan akan disampaikan melalui apa?;lak.KKN;"Persyaratan Peserta KKN
Mahasiswa yang akan melaksanakan KKN harus melakukan pendaftaran ke LPPM. Syarat pendaftaran menjadi peserta KKN adalah:
1. Memenuhi persyaratan akademik mencapai minimal 110 sks sesuai dengan Surat Keputusan Rektor Nomor: SKEP/87N11/2010 tanggal 5 Juli 2010.
2. Menyerahkan transkip nilai yang sudah dibubui tanda tangan dosen wali (menyetujui) dan ketua jurusan/prodi (mengetahui)
3. Telah mengambil Mata Kuliah KKN dengan bukti print out input.
4. Mengisi daftar riwayat hidup yang juga harus disetujui dosen wali dan diketahui ketua jurusan/prodi.
5. Transkip nilai, print out input dan daftar riwayat hidup harus diserahkan secara lengkap saat mahasiswa mendaftar sebagai peserta KKN.
6. Mahasiswa melalui ketua kelompok masing-masing mendaftarkan ke LPPM untuk mendapatkan user name dan pasword.
7. Ketua kelompok akses sistem pendaftaran KKN secara on-line di Ippm.upnykac.id
8. Jumlah kelompok pendaftar setiap skim maupun jumlah pendaftar total per angkatan akan dibatasi.
9. Waktu pendaftaran peserta KKN diatur dan ditentukan oleh Pusat Pengabdian Kepada Masyarakat LPPM.
10. Mahasiswa yang tidak mendaftar pada waktu telah ditentukan maka dianggap gugur sebagai peserta KKN pada angkatanisemester pengambilan Mata Kuliah KKN.
11. Pesyaratan ini juga berlaku untuk KKN PPM yang mendapat hibah DIKTI, sehingga baqi dosen vanq menqajukan proposal KKN PPEV1 ke Dikti harus sudah mendaftarkan terlebih dahulu calon peserta mahasiswa.
info lebih lengkap silahkan kunjungi : https://kkn-upnyk.com/";Layanan akademik
berapa banyak berkas/lembar KRP yang harus di legalisasi/disahkan?;lak.KRP;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;Layanan akademik
dimana saya bisa minta cap pengesahkan untuk KRP saya?;lak.KRP;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;Layanan akademik
foto KRP hitam putih atau berwarna dan apa ukurannya?;lak.KRP;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;Layanan akademik
kalau mau stempel krp dimana ya pak? ;lak.KRP;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;Layanan akademik
KRP yang disahkan/dicap berapa rangkap?;lak.KRP;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;Layanan akademik
apakah bisa susulan KRS-an?;lak.KRS;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;Layanan akademik
Bagaimana cara mengurus keterlambatan pengisian KRS?;lak.KRS;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;Layanan akademik
kelewat tanggal atau telat krs-an apakah bisa susulan?;lak.KRS;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;Layanan akademik
saya belum input krs harus mengurus kemana saya?;lak.KRS;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;Layanan akademik
saya ingin input krs tapi kenapa tertulis sks yang sudah saya tempuh di semester lalu 0?;lak.KRS;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;Layanan akademik
saya lupa jadwal input krs apakah bisa input ulang?;lak.KRS;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;Layanan akademik
tidak dapat krs bagaimana urus-nya?;lak.KRS;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;Layanan akademik
Apakah KRS yang saya lakukan dapat dibatalkan?;lak.KRS;Pengajuan KRS dan permohonan cuti baru berlaku jika sudah disahkan. Jika kemudian diketahui mahasiswa yang bersangkutan tidak memenuhi syarat administratif dan akademik, KRS dan permohonan cuti tersebut akan dibatalkan/tidak disahkah oleh pihak Universitas.;Layanan akademik
pembatalan pengajuan KRS/cuti semester.;lak.KRS;Pengajuan KRS dan permohonan cuti baru berlaku jika sudah disahkan. Jika kemudian diketahui mahasiswa yang bersangkutan tidak memenuhi syarat administratif dan akademik, KRS dan permohonan cuti tersebut akan dibatalkan/tidak disahkah oleh pihak Universitas.;Layanan akademik
permohonan cuti apakah dapat dibatalkan?;lak.KRS;Pengajuan KRS dan permohonan cuti baru berlaku jika sudah disahkan. Jika kemudian diketahui mahasiswa yang bersangkutan tidak memenuhi syarat administratif dan akademik, KRS dan permohonan cuti tersebut akan dibatalkan/tidak disahkah oleh pihak Universitas.;Layanan akademik
tidak jadi KRS!;lak.KRS;Pengajuan KRS dan permohonan cuti baru berlaku jika sudah disahkan. Jika kemudian diketahui mahasiswa yang bersangkutan tidak memenuhi syarat administratif dan akademik, KRS dan permohonan cuti tersebut akan dibatalkan/tidak disahkah oleh pihak Universitas.;Layanan akademik
apakah nanti masih diperbaharui lagi jumlah kelas dan kuota-nya?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
bagaimana jika ada mata kuliah yang belum saya input-kan di krs?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
Bagaimana tutorial mengurus jika jadwal belajar bentrok?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
halaman input krs di cbis saya tidak muncul.;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
jadwal hari senin saya sudah full apakah bisa masuk kelas * jumat?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
Kelas yang ingin saya ikuti sudah penuh, apakah bisa dibuka kelas baru untuk mata kuliah tersebut?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
kenapa tidak ada link input KRS di cbis saya?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
Saya mahasiswa tidak aktif apakah saya bisa melakukan KRS?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
Saya tidak [dapat|bisa] melakukan KRS.;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
untuk kelas [mata kuliah] penuh, apakah masih ada penambahan kuota untuk kelas tersebut?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
untuk prodi SI akan ada update penambahan kelas dan kuotanya tidak ya pak?;lak.revisi KRS;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;Layanan akademik
bagaimana alur tutorial mendapatkan surat bebas perpus fakultas?;lak.surat bebas;"Berikut prosedur surat bebas perpustakaan fakultas. 1. Siapkan  beberapa  Hardfile dan CD sebagai  berikut
a.  File  Tugas  Akhir  Lengkap  (dari  cover  sampai lampiran)
b.  Halaman  Judul  atau  Cover
c.  Halaman  Pengesahan
d.  Abstrak
e.  Daftar  Isi
f. Daftar pustaka
2.  Foto  Kartu  Tanda  Anggota  Perpustakaan  dan KTM
3. Semua  file  diserahkan ke Perpustakaan FTI UPN Veteran Yogyakarta
4. Pengecekan  pinjaman apakah  masih  punya tanggungan  peminjaman buku
5. jika YA maka Kembalikan pinjaman  dengan koordinasi  dengan Petugas Perpustakaan
6. jika  TIDAK maka Surat  keterangan  bebas  pustaka akan diserahkan
7. Selesai";Layanan akademik
file/dokumen apa yang harus dilengkapi untuk mendapat surat bebas perpustakaan fti?;lak.surat bebas;"Berikut prosedur surat bebas perpustakaan fakultas. 1. Siapkan  beberapa  Hardfile dan CD sebagai  berikut
a.  File  Tugas  Akhir  Lengkap  (dari  cover  sampai lampiran)
b.  Halaman  Judul  atau  Cover
c.  Halaman  Pengesahan
d.  Abstrak
e.  Daftar  Isi
f. Daftar pustaka
2.  Foto  Kartu  Tanda  Anggota  Perpustakaan  dan KTM
3. Semua  file  diserahkan ke Perpustakaan FTI UPN Veteran Yogyakarta
4. Pengecekan  pinjaman apakah  masih  punya tanggungan  peminjaman buku
5. jika YA maka Kembalikan pinjaman  dengan koordinasi  dengan Petugas Perpustakaan
6. jika  TIDAK maka Surat  keterangan  bebas  pustaka akan diserahkan
7. Selesai";Layanan akademik
langka-langkah apa saja yang harus di lakukan untuk mendapatkan keterangan bebas perpustakaan ke perpus fti?;lak.surat bebas;"Berikut prosedur surat bebas perpustakaan fakultas. 1. Siapkan  beberapa  Hardfile dan CD sebagai  berikut
a.  File  Tugas  Akhir  Lengkap  (dari  cover  sampai lampiran)
b.  Halaman  Judul  atau  Cover
c.  Halaman  Pengesahan
d.  Abstrak
e.  Daftar  Isi
f. Daftar pustaka
2.  Foto  Kartu  Tanda  Anggota  Perpustakaan  dan KTM
3. Semua  file  diserahkan ke Perpustakaan FTI UPN Veteran Yogyakarta
4. Pengecekan  pinjaman apakah  masih  punya tanggungan  peminjaman buku
5. jika YA maka Kembalikan pinjaman  dengan koordinasi  dengan Petugas Perpustakaan
6. jika  TIDAK maka Surat  keterangan  bebas  pustaka akan diserahkan
7. Selesai";Layanan akademik
prosedur mendapatkan surat bebas perpustakaan ke perpus fti?;lak.surat bebas;"Berikut prosedur surat bebas perpustakaan fakultas. 1. Siapkan  beberapa  Hardfile dan CD sebagai  berikut
a.  File  Tugas  Akhir  Lengkap  (dari  cover  sampai lampiran)
b.  Halaman  Judul  atau  Cover
c.  Halaman  Pengesahan
d.  Abstrak
e.  Daftar  Isi
f. Daftar pustaka
2.  Foto  Kartu  Tanda  Anggota  Perpustakaan  dan KTM
3. Semua  file  diserahkan ke Perpustakaan FTI UPN Veteran Yogyakarta
4. Pengecekan  pinjaman apakah  masih  punya tanggungan  peminjaman buku
5. jika YA maka Kembalikan pinjaman  dengan koordinasi  dengan Petugas Perpustakaan
6. jika  TIDAK maka Surat  keterangan  bebas  pustaka akan diserahkan
7. Selesai";Layanan akademik
tahap apa saja yang harus di lakukan untuk mendapatkan surat bebas perpustakaan ke perpus fti?;lak.surat bebas;"Berikut prosedur surat bebas perpustakaan fakultas. 1. Siapkan  beberapa  Hardfile dan CD sebagai  berikut
a.  File  Tugas  Akhir  Lengkap  (dari  cover  sampai lampiran)
b.  Halaman  Judul  atau  Cover
c.  Halaman  Pengesahan
d.  Abstrak
e.  Daftar  Isi
f. Daftar pustaka
2.  Foto  Kartu  Tanda  Anggota  Perpustakaan  dan KTM
3. Semua  file  diserahkan ke Perpustakaan FTI UPN Veteran Yogyakarta
4. Pengecekan  pinjaman apakah  masih  punya tanggungan  peminjaman buku
5. jika YA maka Kembalikan pinjaman  dengan koordinasi  dengan Petugas Perpustakaan
6. jika  TIDAK maka Surat  keterangan  bebas  pustaka akan diserahkan
7. Selesai";Layanan akademik
